firm_name,firm_motor,star_rating,firm_rev,service_pct(%),platform_pct(%),firm_price,firm_employee,year_founded,firm_location
SPEC INDIA,"Enterprise Software, Mobility & BI Solutions",4.8,26,20,15,< $25/hr ,250 - 999,1987,"India, United States "
instinctools,Delivering the future. Now.,4.8,8,5,10,$50 - $99/hr ,250 - 999,2000,"United States, Germany "
SoluLab,Blockchain | IoT | Mobility | AI | Big Data,5.0,32,15,15,$25 - $49/hr ,50 - 249,2014,"United States, India "
ELEKS,Your Technology Partner for Software Innovation,5.0,3,10,20,$25 - $49/hr ,"1,000 - 9,999",1991,"Estonia, United States "
Sigma Data Systems,Discover the world of Big Data with us!,4.7,5,40,10,$25 - $49/hr ,250 - 999,2010,"United States, Australia "
NeenOpal Inc.,The Hub Of Data Science Innovation,5.0,5,25,10, $25 - $49/hr ,10 - 49,2016,"United States, India "
CodeCompletePro,IT Outsourcing Services,5.0,1,20,5,$50 - $99/hr ,10 - 49,2021,"United States, Philippines "
Consagous Technologies,Helping brands by being their Technology Partner,4.8,32,10,20,$25 - $49/hr ,50 - 249,2008,"India, United States "
NEX Softsys,IT Partner for Global Clients,5.0,12,20,20,$25 - $49/hr ,50 - 249,2003,United States 
Beyond Key,IT Consulting and Software Development Services ,5.0,7,20,10,$25 - $49/hr ,250 - 999,2005,"United States, India "
Datapine,BUSINESS INTELLIGENCE MADE EASY,5.0,3,90,5,$50 - $99/hr ,10 - 49,2012,Germany 
Dataforest,Data Engineering and Web Product Development,5.0,4,30,20,$50 - $99/hr ,50 - 249,2018,"Ukraine, Estonia "
pwrteams,Scale your enterprise with cross-border teams,4.9,7,10,25,$25 - $49/hr ,250 - 999,2008,"Luxembourg, Poland "
Intellias,Global Technology Partner,5.0,5,15,5,$25 - $49/hr ,"1,000 - 9,999",2002,"Ukraine, United States "
Altar.io,Product & Software Development Agency,5.0,9,25,10,$50 - $99/hr ,10 - 49,2015,"Portugal, United Kingdom "
Huspi,Transforming ideas into user-friendly software.,5.0,6,10,50,$50 - $99/hr ,10 - 49,2015," Poland, Ukraine "
Rudder Analytics,Steering Your Business.,4.8,3,90,5,$25 - $49/hr ,10 - 49,2015,India 
Fayrix,Remote software teams & services for startups. ,5.0,8,10,5,< $25/hr ,"1,000 - 9,999",2005,Israel 
Accubits,Your Technology Partner- Simple. Seamless. Secure,4.9,7,10,10,$25 - $49/hr ,50 - 249,2012,"India, United States "
OrbitSoft,We do software right,4.9,3,5,20,$25 - $49/hr ,50 - 249,2001,United States 
Broscorp,Delivering software that helps businesses to grow,4.9,4,10,50,$25 - $49/hr ,10 - 49,2016,Ukraine 
Clustox,The House of Innovation,5.0,5,10,25,< $25/hr ,10 - 49,2012,Pakistan 
VITech,Software development powerhouse,5.0,3,30,25,$50 - $99/hr ,50 - 249,2007,Ukraine 
GFAIVE,Demand forecasting for Fashion Retail,5.0,2,20,25,NA ,10 - 49,2018,Georgia 
SPRYTE Labs,"The right team, every time",5.0,3,10,10,NA ,"1,000 - 9,999",2019,United States 
abstractR,We make Abstract ideas Real,5.0,2,20,20,$50 - $99/hr ,10 - 49,2018,Czech Republic 
SetuServ,Customized AI: Machine Power + Human Accuracy,5.0,1,50,16,NA ,50 - 249,2012,"United States, India "
InData Labs,Big on Data Science and AI,5.0,1,30,30,$50 - $99/hr ,50 - 249,2014,"Cyprus, Singapore "
Aegis Soft Tech,Software Development Expert,5.0,2,5,25,$25 - $49/hr ,50 - 249,2003,India 
AM-BITS,Time to rethink IT,5.0,2,20,10,$50 - $99/hr ,50 - 249,2016,Ukraine 
ScaleupAlly,Scaleup the development of your Business Idea,4.8,3,30,30,$25 - $49/hr ,10 - 49,2017,India 
ThirdEye Data Inc.,Transforming Enterprises with AI Applications,5.0,1,20,10,$50 - $99/hr ,50 - 249,2010,United States 
CodeCoda Ltd,Advanced Software Development Outsourcing,3.0,2,10,15,$25 - $49/hr ,50 - 249,2016,"Bulgaria, Ireland "
S-PRO,Strategic partner.,5.0,30,10,25,$50 - $99/hr ,50 - 249,2014,Poland 
